ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.10371803958491373,0.07939503985358828,0.005881427425511404,0.04642891785340365,0.42022574765001014,0.04557590494450077,1.367811935170207e-09,0.4500196041244146,0.0011048781138529812,0.0952058632512311,0.02346037889799659,0.02286864825894544,0.02654901574515897,0.0053318488435915076,0.06285210818126312,0.06017040213225839,0.0009076868700771936,0.8433567740672442,0.0060269270225145645,1.1024640460929323e-06,2.4124282990033007e-06,0.06714031403144655,0.00030202076934163886,0.00037190334192681773
4,0.12758541942041127,0.04338032606754525,0.018300634251180975,0.059151656032346824,0.30366137502438717,0.24647224828547076,0.005915488209236185,0.6933809725738002,0.006772166870122562,0.022588143715547147,0.007594737571369002,0.04916381696289827,0.10088557136820467,0.018538252687455528,0.029934508491886332,0.06826315525020776,0.0009415914144173766,0.0852929237471822,0.006128339390781509,0.00030848743307097164,0.00010080192604633277,0.2614538262541862,0.009860388496944452,0.0007622276658004255
5,0.00023519172659233986,8.408789418355959e-05,3.4979739766374127e-07,0.035845479576488676,0.003007725661951464,0.9984623284904167,4.624272576097121e-14,0.9008515072254659,4.867364391108157e-10,0.00030440726793698534,0.5146208400647408,0.026540727382317077,2.9828327994433124e-05,0.0001672643035124353,0.0016693533133590958,0.9322945113850476,0.0007690140334085509,0.009579296973337483,1.3187449275996895e-05,5.542841392366037e-11,4.086981607551306e-08,0.7388792392462403,9.713535751779171e-07,9.355901217443209e-09
6,0.02966738327468498,0.0181656615188116,4.322753385076553e-05,0.03926010402676257,0.08112008419538085,0.0012794277998938303,2.6274469747195475e-10,0.8847027008130456,0.00011402886434475938,0.0060656061562368345,0.022428815996193473,0.02772845704517841,0.059553464993872186,0.0002128516596290399,0.0037142693612147045,0.033928921008362645,0.0008511280667912645,0.03695181804114883,0.04318920460557451,2.6025578673366684e-07,6.4943921149602245e-06,0.21231795796539996,0.0008735164868658685,0.0013696015650572367
7,0.0010169451282150883,0.0016458865121351228,0.00016336596775183638,0.04255887515353541,0.09540952205653412,0.0015075525754464547,1.7896565120999795e-10,0.13847387332597424,8.640138851485709e-06,0.07097596122563238,0.05671941028861303,0.02229517226139256,0.9896653795918006,0.00015995114066657415,0.0009116390766436816,0.07260400408893719,0.0008435115268097389,0.07489697411231296,0.9823239444728595,2.6099390422598165e-06,5.855730141040772e-13,0.35332830747979027,5.202543321374883e-08,1.0383454540466872e-06
9,0.026357324776899328,0.10244632873540704,0.008046207030000868,0.057729488928213064,0.22632313292584844,0.04803334011228182,8.256748995005824e-05,0.6963418844507725,0.03789132530033671,0.06817841623180933,0.01738376288101793,0.055344171297982386,0.023572638218248117,0.017207415774858285,0.020418567298491383,0.04865953661496934,0.000913782772752807,0.12622160903584176,0.0062273924243356205,0.00032143280495888456,0.0003035630817769685,0.08039405438044428,0.004142559128340176,0.0019705815891019607
11,0.0470450814425922,0.004599796164359553,0.0021719406481912635,0.045454994603916624,0.13392781734826417,0.2476586376989948,0.1815241937919854,0.20899665952058058,2.7233264474343252e-05,0.004876792729988351,0.0018831042708938963,0.0390259104257964,0.0010335768194959605,0.7223284718494031,0.13185051469019843,0.005465940470557589,0.0008767888244456866,0.350029421488569,0.002204776987195341,4.8004392610020615e-06,0.002181643733397742,0.0328107324206926,4.025216802702422e-08,4.546996557294809e-07
13,0.15478282546201452,0.0023779279502164803,0.0029189719051761105,0.05009843374167376,0.4369421875593333,0.7698926889009466,1.0685285706760887e-07,0.7416504710463651,0.0024823960023585274,0.00888761460330092,0.015808221674097955,0.031952558408973424,0.0007431123486211888,0.001285382387659786,0.00507157412233709,0.03520503293248083,0.0008816447594341876,0.19561158472632628,0.002482273465293739,6.227902892648433e-05,7.618639002691799e-07,0.46040518146421033,1.1378103678565423e-05,1.0162900151972354e-06
16,0.014923770860934037,0.009838469872383081,0.0019155557278447573,0.055284782869817584,0.4350203753193094,0.03173389227247523,0.014466870398002494,0.7379124180509514,0.0018428525435714308,0.02347584282874745,0.012022040822724395,0.03348882085341605,0.10402225479206649,0.006469710342098369,0.009983347150077487,0.12513594828172903,0.0009138981397524506,0.45183697405985634,0.010051020798348615,0.0001033059274238895,9.344938936846222e-05,0.11284155620902607,0.000613848596785637,7.457772022817597e-05
21,0.03638907319686327,0.06590316615185582,0.006063546201939568,0.05148109708862222,0.8336955609306426,0.12912750717067287,1.6630194992415892e-05,0.4602774969772883,0.01203029091411909,0.03443574219787598,0.006930228068641211,0.025361744047652922,0.007475413501714386,0.03159770417035477,0.03229117637930675,0.02155155060146235,0.000922648405963065,0.3862506304877234,0.007078411120691052,1.8425767734906712e-05,1.1430779178711536e-06,0.021252628603230635,0.0003526943070123804,2.029804150138161e-05
