ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.06920590355009443,0.011891672453252884,0.0010782968497490362,0.00023761134972400134,0.09615399193473537,0.005639319851876557,9.337464016551321e-08,0.156909552156941,0.0003530416626223907,0.01220104716503464,0.0008853867125866779,2.837170525307893e-05,0.0062942680861447775,0.00042396218277211965,0.0370031670212988,0.008057577299642911,3.2221211152033253e-06,0.9838519400209353,0.0010745157517186204,2.8629350085908284e-06,0.0001358044517835496,0.006068123276483131,0.0002779366654332537,0.0011053253498530752
4,0.061488460102181446,0.0036734953488668093,0.005704863953408781,0.18626014037824257,0.25725046115424427,0.21615090782442206,0.025723295988238866,0.9325208738049686,0.0033343667512517067,0.0007396361097894092,0.00046333818532238953,0.0025252135714293076,0.029899230935989535,0.011469706231798518,0.00720360272625738,0.016530266352990118,0.0004665942005351391,0.0069374503311804645,0.0010060155315605947,0.0005404824233024193,0.0019489757622390236,0.45154590689366736,0.009452881846010832,0.0019479034132016395
5,7.89723341001506e-09,2.5586824142659266e-09,8.543774059496906e-10,0.0007543744563126511,3.514583999194629e-09,0.9999992248795231,1.533334123174962e-11,0.9893990819754772,1.0335645167460295e-11,1.3683196705013527e-08,0.9487606449640505,7.625409933109833e-08,4.1197242672256215e-09,1.9090259098001384e-06,1.4137108297104183e-06,0.9096741205934697,2.9592703040031167e-13,2.4896099893901812e-05,2.1859385901124547e-07,2.565362991366981e-10,2.3450060841761263e-05,0.9916756868482193,8.167197343843663e-07,1.4287383938672283e-07
6,0.006192845498354088,0.0010596710627301937,2.5850718866814744e-07,6.503868203275235e-05,8.662269147833875e-05,6.475872461180427e-07,2.085106625341282e-08,0.961295721580334,3.734381316116755e-05,5.168501439585886e-05,0.00021883075516864817,0.0003476050974644555,0.03755510363507807,9.381478756245563e-07,0.00011879983800442375,0.0011213682375978257,3.5062848111310676e-08,0.0008879799438010449,0.016376167905895293,6.498037602922991e-07,0.00029774542526303527,0.14252556967810065,0.0007871525398859382,0.0026425445892782297
7,4.335661250262846e-08,1.592738926977002e-06,4.991939224506568e-07,2.0029796859949663e-05,0.02727692058219672,1.3572290477327192e-06,1.564619670866362e-08,0.00015229118365319615,1.72491180127482e-06,0.018668276031303395,0.004685296643388219,3.3123247612533426e-07,0.9999751876607194,2.662629644806836e-07,8.210778229044451e-07,8.263850890949677e-05,1.966878893541474e-09,0.00014829924169666383,0.9965849999855099,5.111179603097111e-06,6.2054283810307625e-09,0.09761990912119015,4.353170853869467e-08,5.934796547304955e-06
9,0.00045086690152712895,0.013464920842418246,0.001206491695503782,0.1548039480117139,0.057376502523433334,0.0015014660780039329,0.0004571147080904164,0.9734874492519454,0.023925040376599246,0.008508509278897394,0.0008982769068511774,0.051391939746198566,0.0016090911164466364,0.003985127374110493,0.0024818113036307386,0.0026718581922819153,9.445693220705858e-06,0.15267418113401,0.0009573653406333571,0.000550725267088325,0.004629746576901642,0.003933818058201989,0.003883255517531167,0.004175742436532742
11,0.016530784934843036,7.57411173875346e-07,7.358225290532619e-05,0.000547705162557337,0.009381388942757043,0.3284543273465959,0.30137698858170964,0.002539810696738287,3.150865224299058e-06,1.0536608648242062e-05,3.948502622151637e-06,0.0005475502677688924,4.018116798864504e-06,0.8753265957286316,0.04541890568516148,4.191448551573358e-06,3.7602296938276935e-06,0.35199352134563777,0.0002882977825190457,1.097195230357138e-05,0.010885052968571889,0.001984882495626812,3.2069481789670875e-08,3.234495741011258e-06
13,0.08317687335244928,7.809937238319511e-07,0.00019414600587111083,2.2237494492720162e-05,0.01843732240364566,0.9157213195896625,2.802336472643218e-06,0.9999304360747123,0.0012595527550513103,3.99663395403941e-05,0.0009604182901873159,0.0003988788664804605,5.591847449344532e-06,1.9105018713132864e-05,1.3253542703310746e-05,0.0047448114158579,6.763640186633683e-07,0.32316578083154124,0.00022243501644878718,0.00011515115763360895,5.6757780654532126e-05,0.9430234129721625,1.0171563138376833e-05,5.699606307746872e-06
16,0.0007938413206136118,0.00020315359538293265,0.0001670833631690552,0.002532150006417884,0.7499258279038054,0.004342514991241743,0.026947356271592088,0.7374144541605794,0.000648067193085885,0.0016492878992901022,0.0005605051794023502,0.00024618898346117664,0.022926727517821623,0.0011466341807533208,0.00012073055419985368,0.17155360448993542,3.16486307896657e-06,0.8356432165065304,0.0026089821446668767,0.0001999246279050402,0.0017581113546068364,0.017213432196634997,0.0005680725302492553,0.00026560484029784304
21,0.003045043760928439,0.007254748682961369,0.00034008247625304504,0.0002149520783021636,0.9988691393568437,0.06452605291707823,0.0002059909615839785,0.27830206494153226,0.006114870942885569,0.0009914210312883334,0.00010069251091824282,7.53983054996529e-05,0.0005457771254837835,0.0072453406528141225,0.0055518107650571104,0.0001635698570994525,3.096697061901426e-05,0.6733390011996598,0.0018870842467066102,3.855781884289989e-05,0.0001003666530547271,0.00016600575200942166,0.0003224451486523831,7.729348974866455e-05
